project_id,environment,slot_type,mapping_status,retailer_moniker,first_job_date,last_job_date,days_span,total_jobs,active_days,total_slot_hours,avg_slot_hours_per_job,avg_concurrent_slots,avg_exec_seconds,p50_exec_seconds,p95_exec_seconds,p99_exec_seconds,max_exec_seconds,qos_violations,qos_violation_pct,total_cost_usd
monitor-dd7aa8a-us-prod,PROD,ON_DEMAND,MATCHED,asics,2025-09-04,2025-10-30,57,327,10,8.09,0.0247,57.88,1.13,1.0,3.0,5.0,43,1,0.31,0.41
monitor-0affb06-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-08,2025-10-21,44,86,11,8.04,0.0935,7.18,17.55,3.0,172.0,226.0,226,7,8.14,0.4
monitor-ecca82e-us-prod,PROD,RESERVED,MATCHED,funko,2025-10-03,2025-10-23,21,1230,15,8.03,0.0065,12.34,1.26,1.0,3.0,7.0,140,2,0.16,0.44
monitor-c6daefd-us-prod,PROD,RESERVED,MATCHED,napapijri,2025-09-01,2025-10-31,61,266,61,7.74,0.0291,46.44,1.52,1.0,5.0,8.0,18,0,0.0,0.39
monitor-8f92301-us-prod,PROD,RESERVED,MATCHED,careismaticbrands,2025-09-18,2025-10-26,39,1129,11,7.38,0.0065,12.45,1.62,1.0,4.0,12.0,69,4,0.35,0.42
monitor-56e6f14-us-prod,PROD,ON_DEMAND,MATCHED,basspro,2025-09-03,2025-10-28,56,201,14,6.98,0.0347,65.28,1.12,1.0,2.0,4.0,5,0,0.0,0.35
monitor-06a71fa-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-01,2025-10-31,61,62,61,6.86,0.1106,88.95,4.85,4.0,11.0,15.0,15,0,0.0,0.34
monitor-9371040-us-prod,PROD,RESERVED,MATCHED,timberland,2025-09-01,2025-10-31,61,854,31,6.76,0.0079,11.92,1.34,1.0,3.0,12.0,83,3,0.35,0.37
monitor-bfb60e4-us-prod,PROD,RESERVED,UNMATCHED,,2025-10-02,2025-10-27,26,308,9,6.59,0.0214,23.14,1.78,1.0,5.0,6.0,19,0,0.0,0.33
monitor-45576c0-us-prod,PROD,RESERVED,MATCHED,tory-burch,2025-09-03,2025-10-31,59,218,16,6.54,0.03,35.12,2.53,2.0,6.0,10.0,17,0,0.0,0.33
monitor-c59adc1-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-01,2025-10-31,61,276,61,6.23,0.0226,29.74,2.0,1.0,5.0,11.0,14,0,0.0,0.31
monitor-c35f2ac-us-prod,PROD,RESERVED,MATCHED,smithoptics,2025-09-01,2025-10-27,57,354,10,6.22,0.0176,24.3,1.36,1.0,4.0,8.0,32,1,0.28,0.32
monitor-f82b25d-us-prod,PROD,RESERVED,MATCHED,arula,2025-09-01,2025-10-31,61,88,40,6.07,0.069,108.65,2.02,2.0,5.0,13.0,13,0,0.0,0.3
monitor-4e3bac3-us-prod,PROD,RESERVED,MATCHED,suncloudoptics,2025-09-01,2025-10-27,57,341,10,5.89,0.0173,26.89,1.18,1.0,4.0,7.0,17,0,0.0,0.31
monitor-fd0158c-us-prod,PROD,RESERVED,MATCHED,tullabee,2025-09-01,2025-10-31,61,105,44,5.81,0.0553,102.95,1.76,1.0,4.0,9.0,9,0,0.0,0.29
monitor-39d0a42-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-08,2025-10-27,50,219,10,5.44,0.0248,13.07,3.1,2.0,5.0,8.0,137,2,0.91,0.27
monitor-2a5dc02-us-prod,PROD,RESERVED,MATCHED,duluthtrading,2025-09-02,2025-10-23,52,118,12,5.43,0.046,34.35,3.66,3.0,10.0,14.0,22,0,0.0,0.27
monitor-9f0eea0-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-01,2025-10-31,61,708,61,5.42,0.0077,11.42,1.94,1.0,5.0,10.0,71,3,0.42,0.27
monitor-1bddd69-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-02,2025-09-04,3,86,3,5.31,0.0617,18.39,3.92,2.0,9.0,65.0,65,2,2.33,0.26
monitor-d90fa53-us-prod,PROD,RESERVED,MATCHED,worldmarket,2025-09-02,2025-10-28,57,125,19,5.17,0.0414,19.75,3.48,2.0,15.0,30.0,65,1,0.8,0.25
monitor-1314ed5-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-01,2025-10-31,61,187,61,5.11,0.0273,39.66,1.59,1.0,4.0,6.0,11,0,0.0,0.26
monitor-fe8aed3-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-01,2025-10-31,61,303,57,4.85,0.016,16.61,3.01,2.0,7.0,16.0,43,1,0.33,0.24
monitor-38e19d4-us-prod,PROD,RESERVED,MATCHED,reitmans,2025-09-23,2025-10-23,31,253,6,4.83,0.0191,22.63,1.95,2.0,4.0,7.0,9,0,0.0,0.25
monitor-f0df98f-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-11,2025-09-30,20,221,5,4.77,0.0216,30.69,2.05,1.0,7.0,12.0,15,0,0.0,0.24
monitor-ad387af-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-18,2025-10-10,23,199,8,4.75,0.0239,37.81,1.37,1.0,4.0,7.0,10,0,0.0,0.25
monitor-f9d80c0-us-prod,PROD,RESERVED,MATCHED,vansnora,2025-09-15,2025-10-30,46,310,6,4.75,0.0153,28.7,2.05,1.0,5.0,12.0,180,1,0.32,0.25
monitor-79aed05-us-prod,PROD,RESERVED,MATCHED,patagonia,2025-09-04,2025-10-30,57,123,3,4.59,0.0373,43.56,2.66,1.0,7.0,9.0,56,1,0.81,0.23
monitor-61e5511-us-prod,PROD,RESERVED,MATCHED,johnnywas,2025-09-12,2025-10-14,33,196,6,4.59,0.0234,32.89,1.99,1.0,6.0,13.0,14,0,0.0,0.23
monitor-b48abf8-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-01,2025-10-31,61,244,61,4.14,0.017,18.76,2.14,2.0,6.0,9.0,12,0,0.0,0.2
monitor-ebf3869-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-02,2025-10-06,35,212,5,4.07,0.0192,9.33,1.58,1.0,4.0,8.0,89,1,0.47,0.21
monitor-9033e6d-us-prod,PROD,RESERVED,MATCHED,bjs,2025-09-01,2025-10-31,61,815,45,3.78,0.0046,6.37,2.0,1.0,4.0,13.0,135,4,0.49,0.22
monitor-5ec2e6d-us-prod,PROD,RESERVED,MATCHED,vancleefarpels,2025-09-01,2025-10-27,57,621,15,3.66,0.0059,15.16,1.24,1.0,3.0,9.0,23,0,0.0,0.2
monitor-e484c78-us-prod,PROD,RESERVED,MATCHED,logitech,2025-09-01,2025-10-31,61,414,61,3.27,0.0079,15.98,1.26,1.0,4.0,6.0,15,0,0.0,0.18
monitor-4029105-us-prod,PROD,RESERVED,MATCHED,taylormade,2025-09-13,2025-09-15,3,146,2,3.02,0.0207,26.55,1.99,1.0,6.0,22.0,29,0,0.0,0.15
monitor-9b0c9a8-us-prod,PROD,RESERVED,MATCHED,warbyparker,2025-09-30,2025-10-31,32,81,7,3.01,0.0372,45.52,2.14,2.0,5.0,14.0,14,0,0.0,0.15
monitor-5d23cc8-us-prod,PROD,RESERVED,MATCHED,clinique,2025-10-08,2025-10-29,22,420,7,2.95,0.007,11.83,1.5,1.0,3.0,5.0,134,1,0.24,0.15
monitor-b6bb43d-us-prod,PROD,RESERVED,MATCHED,ae,2025-09-02,2025-09-02,1,17,1,2.95,0.1735,208.15,2.12,2.0,5.0,5.0,5,0,0.0,0.15
monitor-6868915-us-prod,PROD,RESERVED,MATCHED,marriott-premium,2025-09-03,2025-10-21,49,497,8,2.92,0.0059,15.11,1.14,1.0,3.0,7.0,33,1,0.2,0.17
monitor-1f6c408-us-prod,PROD,RESERVED,MATCHED,crewclothing,2025-09-01,2025-10-31,61,916,61,2.84,0.0031,4.8,1.5,1.0,4.0,8.0,74,3,0.33,0.14
monitor-775c341-us-prod,PROD,RESERVED,MATCHED,asrevival,2025-09-01,2025-10-31,61,50,40,2.83,0.0566,103.82,1.7,1.0,4.0,10.0,10,0,0.0,0.14
monitor-dd2e1ee-us-prod,PROD,RESERVED,MATCHED,saucony,2025-09-19,2025-10-22,34,166,4,2.83,0.017,21.73,1.86,1.0,7.0,22.0,26,0,0.0,0.14
monitor-4b91c7d-us-prod,PROD,RESERVED,MATCHED,sharkclean-emea,2025-10-20,2025-10-31,12,179,8,2.75,0.0154,26.58,2.21,1.0,8.0,22.0,29,0,0.0,0.14
monitor-e934db0-us-prod,PROD,RESERVED,MATCHED,brilliantearth,2025-09-01,2025-10-31,61,1104,61,2.74,0.0025,6.46,0.89,1.0,3.0,6.0,54,1,0.09,0.16
monitor-2b64457-us-prod,PROD,RESERVED,UNMATCHED,,2025-10-06,2025-10-21,16,131,2,2.72,0.0208,27.59,1.22,1.0,3.0,4.0,4,0,0.0,0.14
monitor-a2816cd-us-prod,PROD,RESERVED,UNMATCHED,,2025-10-14,2025-10-20,7,199,5,2.69,0.0135,14.26,1.7,1.0,5.0,11.0,12,0,0.0,0.13
monitor-002e52c-us-prod,PROD,RESERVED,MATCHED,blundstoneusa,2025-09-01,2025-10-27,57,368,10,2.68,0.0073,15.05,1.17,1.0,3.0,10.0,15,0,0.0,0.15
