retailer_moniker,shipment_count,order_count,return_count,shipments_production_cost_usd,orders_production_cost_usd,returns_production_cost_usd,total_production_cost_usd,consumption_cost_usd,consumption_slot_hours,query_count,first_query_date,last_query_date,query_days_active,avg_queries_per_day,total_cost_usd,consumption_to_production_ratio,consumption_pct_of_total
tkmaxx,314293,0,0,26.5,0.0,0.0,26.5,0.0,0.0,0,,,1,0.0,26.5,0.0,0.0
nectarsleep,269332,299937,0,22.71,3.73,0.0,26.44,0.0,0.0,0,,,1,0.0,26.44,0.0,0.0
timberland,191278,324076,90713,16.13,4.03,5.81,25.97,0.3736000000000001,6.760000000000001,854,2025-09-01,2025-10-31,61,14.0,26.3436,0.0144,0.0142
shoedazzle,32943,1881684,0,2.78,23.37,0.0,26.150000000000002,0.0,0.0,0,,,1,0.0,26.150000000000002,0.0,0.0
funko,280370,164518,5,23.64,2.04,0.0,25.68,0.43899999999999995,8.030000000000001,1230,2025-10-03,2025-10-23,21,58.57,26.119,0.0171,0.0168
isagenix,231097,448713,12585,19.49,5.57,0.81,25.869999999999997,0.043899999999999995,0.9100000000000001,100,2025-10-15,2025-10-30,16,6.25,25.913899999999998,0.0017,0.0017
maccosmetics,251448,246971,22391,21.2,3.07,1.43,25.7,0.0022,0.05,7,2025-10-28,2025-10-28,1,7.0,25.702199999999998,1.0E-4,1.0E-4
glossier,169515,915491,0,14.29,11.37,0.0,25.659999999999997,0.0,0.0,0,,,1,0.0,25.659999999999997,0.0,0.0
simpson,293899,50342,0,24.78,0.63,0.0,25.41,0.0,0.0,0,,,1,0.0,25.41,0.0,0.0
jockey1,299839,0,0,25.28,0.0,0.0,25.28,0.0,0.0,0,,,1,0.0,25.28,0.0,0.0
adorama,297445,0,0,25.08,0.0,0.0,25.08,0.0,0.0,0,,,1,0.0,25.08,0.0,0.0
sitkagear,196351,463002,41039,16.56,5.75,2.63,24.939999999999998,0.023,0.48,59,2025-09-03,2025-10-08,36,1.64,24.962999999999997,9.0E-4,9.0E-4
kiehls,216295,472445,6073,18.24,5.87,0.39,24.5,0.0,0.0,0,,,1,0.0,24.5,0.0,0.0
saucony,169963,444513,61573,14.33,5.52,3.94,23.790000000000003,0.14230000000000007,2.830000000000001,166,2025-09-19,2025-10-22,34,4.88,23.9323,0.006,0.0059
narvarreturns,283676,1,0,23.92,0.0,0.0,23.92,0.0,0.0,0,,,1,0.0,23.92,0.0,0.0
carhartt-wip,155964,157908,134409,13.15,1.96,8.61,23.72,0.08140000000000006,1.6900000000000008,171,2025-09-25,2025-10-30,36,4.75,23.801399999999997,0.0034,0.0034
fortnumandmason,221294,398060,1446,18.66,4.94,0.09,23.69,0.027800000000000002,0.48,94,2025-09-18,2025-10-13,26,3.62,23.7178,0.0012,0.0012
bouqs,247583,219827,0,20.88,2.73,0.0,23.61,0.0,0.0,0,,,1,0.0,23.61,0.0,0.0
aveda,241110,231327,5361,20.33,2.87,0.34,23.54,0.0033,0.05,22,2025-10-28,2025-10-28,1,22.0,23.5433,1.0E-4,1.0E-4
hush,120323,204936,164187,10.15,2.55,10.51,23.21,0.0178,0.28,88,2025-09-08,2025-10-16,39,2.26,23.227800000000002,8.0E-4,8.0E-4
henryschein-specialmarkets,233478,234953,0,19.69,2.92,0.0,22.61,0.0,0.0,0,,,1,0.0,22.61,0.0,0.0
tiffany,228054,165640,19190,19.23,2.06,1.23,22.52,5.0E-4,0.01,1,2025-09-16,2025-09-16,1,1.0,22.5205,0.0,0.0
oodie uk,266796,0,0,22.5,0.0,0.0,22.5,0.0,0.0,0,,,1,0.0,22.5,0.0,0.0
ezcontacts,201209,396403,7428,16.97,4.92,0.48,22.37,0.0,0.0,0,,,1,0.0,22.37,0.0,0.0
fahertybrand,152832,762323,0,12.89,9.47,0.0,22.36,0.0,0.0,0,,,1,0.0,22.36,0.0,0.0
penningtons,180401,361787,39113,15.21,4.49,2.5,22.200000000000003,0.07640000000000007,1.4400000000000006,138,2025-10-01,2025-10-01,1,138.0,22.276400000000002,0.0034,0.0034
icebreakeremea,6095,1677542,11491,0.51,20.84,0.74,22.09,0.012100000000000007,0.08,128,2025-10-03,2025-10-08,6,21.33,22.1021,5.0E-4,5.0E-4
napapijri,236701,63926,14920,19.96,0.79,0.96,21.71,0.3888999999999999,7.74,266,2025-09-01,2025-10-31,61,4.36,22.0989,0.0179,0.0176
taylormade,92051,1118177,4332,7.76,13.89,0.28,21.93,0.14800000000000008,3.0200000000000014,146,2025-09-13,2025-09-15,3,48.67,22.078,0.0067,0.0067
johnstonmurphy,252616,3003,10387,21.3,0.04,0.67,22.01,0.0,0.0,0,,,1,0.0,22.01,0.0,0.0
lfc-emea,185676,408482,19709,15.66,5.07,1.26,21.990000000000002,0.0013000000000000002,0.02,10,2025-10-08,2025-10-08,1,10.0,21.991300000000003,1.0E-4,1.0E-4
steepandcheap,72795,1148068,21701,6.14,14.26,1.39,21.79,0.0,0.0,0,,,1,0.0,21.79,0.0,0.0
mailamericas,257719,0,0,21.73,0.0,0.0,21.73,0.0,0.0,0,,,1,0.0,21.73,0.0,0.0
rona,159403,635648,6000,13.44,7.9,0.38,21.72,0.0,0.0,0,,,1,0.0,21.72,0.0,0.0
bose,256269,1,0,21.61,0.0,0.0,21.61,0.0,0.0,0,,,1,0.0,21.61,0.0,0.0
atechmotorsports,190583,344185,17125,16.07,4.28,1.1,21.450000000000003,5.0E-4,0.0,23,2025-09-02,2025-10-07,36,0.64,21.4505,0.0,0.0
oldnavy,253503,0,0,21.37,0.0,0.0,21.37,0.0,0.0,0,,,1,0.0,21.37,0.0,0.0
rw-co,158198,329368,60037,13.34,4.09,3.84,21.27,0.06680000000000008,1.2500000000000007,103,2025-10-01,2025-10-01,1,103.0,21.3368,0.0031,0.0031
ashleystewart,166180,510460,12963,14.01,6.34,0.83,21.18,0.0,0.0,0,,,1,0.0,21.18,0.0,0.0
dolcevita,157451,634694,0,13.28,7.88,0.0,21.16,0.0,0.0,0,,,1,0.0,21.16,0.0,0.0
donnakaran,226598,141466,0,19.11,1.76,0.0,20.87,0.0,0.0,0,,,1,0.0,20.87,0.0,0.0
canadiantire,245607,0,0,20.71,0.0,0.0,20.71,0.0,0.0,0,,,1,0.0,20.71,0.0,0.0
blinds2go,184497,394245,0,15.56,4.9,0.0,20.46,0.0,0.0,0,,,1,0.0,20.46,0.0,0.0
hudabeauty,157902,574148,0,13.31,7.13,0.0,20.44,0.0,0.0,0,,,1,0.0,20.44,0.0,0.0
whitestuff,204074,258869,36,17.21,3.22,0.0,20.43,0.0,0.0,0,,,1,0.0,20.43,0.0,0.0
toryburch,233462,22119,5936,19.69,0.27,0.38,20.34,0.05069999999999998,1.03,32,2025-10-03,2025-10-15,13,2.46,20.3907,0.0025,0.0025
