retailer_moniker,project_id_prod,project_id_qa,project_id_stg,md5_hash
atest8,monitor-ab5e88d-us-prod,monitor-ab5e88d-us-qa,monitor-ab5e88d-us-stg,ab5e88d
athleta,monitor-23e79da-us-prod,monitor-23e79da-us-qa,monitor-23e79da-us-stg,23e79da
athletaca,monitor-6aaa037-us-prod,monitor-6aaa037-us-qa,monitor-6aaa037-us-stg,6aaa037
athleticpropulsionlabs,monitor-91987b7-us-prod,monitor-91987b7-us-qa,monitor-91987b7-us-stg,91987b7
atmcollection,monitor-5001da7-us-prod,monitor-5001da7-us-qa,monitor-5001da7-us-stg,5001da7
atmos-pink,monitor-7c543cf-us-prod,monitor-7c543cf-us-qa,monitor-7c543cf-us-stg,7c543cf
atmos-tokyo,monitor-3b407cc-us-prod,monitor-3b407cc-us-qa,monitor-3b407cc-us-stg,3b407cc
atmosphere,monitor-05e94e8-us-prod,monitor-05e94e8-us-qa,monitor-05e94e8-us-stg,05e94e8
atticsalt,monitor-1fd70fa-us-prod,monitor-1fd70fa-us-qa,monitor-1fd70fa-us-stg,1fd70fa
au-castore,monitor-99a12e3-us-prod,monitor-99a12e3-us-qa,monitor-99a12e3-us-stg,99a12e3
au-gympluscoffee,monitor-2d00fdd-us-prod,monitor-2d00fdd-us-qa,monitor-2d00fdd-us-stg,2d00fdd
au-lovisa,monitor-87c951e-us-prod,monitor-87c951e-us-qa,monitor-87c951e-us-stg,87c951e
august,monitor-61a590f-us-prod,monitor-61a590f-us-qa,monitor-61a590f-us-stg,61a590f
aurugs,monitor-115ef9e-us-prod,monitor-115ef9e-us-qa,monitor-115ef9e-us-stg,115ef9e
austincitygiftbasketsn2lpuctjj1,monitor-f05260e-us-prod,monitor-f05260e-us-qa,monitor-f05260e-us-stg,f05260e
authenteak,monitor-6ad1673-us-prod,monitor-6ad1673-us-qa,monitor-6ad1673-us-stg,6ad1673
autoanything,monitor-9400c4c-us-prod,monitor-9400c4c-us-qa,monitor-9400c4c-us-stg,9400c4c
autopartswarehouse,monitor-322d4e5-us-prod,monitor-322d4e5-us-qa,monitor-322d4e5-us-stg,322d4e5
autoshack,monitor-7b9a794-us-prod,monitor-7b9a794-us-qa,monitor-7b9a794-us-stg,7b9a794
autozone,monitor-87681bc-us-prod,monitor-87681bc-us-qa,monitor-87681bc-us-stg,87681bc
autozone-qa,monitor-15e952a-us-prod,monitor-15e952a-us-qa,monitor-15e952a-us-stg,15e952a
aveda,monitor-8063a4a-us-prod,monitor-8063a4a-us-qa,monitor-8063a4a-us-stg,8063a4a
aveneusa,monitor-ed83742-us-prod,monitor-ed83742-us-qa,monitor-ed83742-us-stg,ed83742
avianx,monitor-b68b857-us-prod,monitor-b68b857-us-qa,monitor-b68b857-us-stg,b68b857
avocadomattress,monitor-273373d-us-prod,monitor-273373d-us-qa,monitor-273373d-us-stg,273373d
avon,monitor-74f4daa-us-prod,monitor-74f4daa-us-qa,monitor-74f4daa-us-stg,74f4daa
awarasleep,monitor-dcd5d20-us-prod,monitor-dcd5d20-us-qa,monitor-dcd5d20-us-stg,dcd5d20
awaytravel,monitor-b99d8e3-us-prod,monitor-b99d8e3-us-qa,monitor-b99d8e3-us-stg,b99d8e3
ayr,monitor-c00bad4-us-prod,monitor-c00bad4-us-qa,monitor-c00bad4-us-stg,c00bad4
babehair,monitor-76774f9-us-prod,monitor-76774f9-us-qa,monitor-76774f9-us-stg,76774f9
babeoriginal,monitor-5f113e8-us-prod,monitor-5f113e8-us-qa,monitor-5f113e8-us-stg,5f113e8
babor,monitor-6d2638b-us-prod,monitor-6d2638b-us-qa,monitor-6d2638b-us-stg,6d2638b
babyjogger,monitor-b98b4d4-us-prod,monitor-b98b4d4-us-qa,monitor-b98b4d4-us-stg,b98b4d4
babyletto,monitor-8f2211c-us-prod,monitor-8f2211c-us-qa,monitor-8f2211c-us-stg,8f2211c
babylisspro,monitor-595fbb1-us-prod,monitor-595fbb1-us-qa,monitor-595fbb1-us-stg,595fbb1
babytula,monitor-4c26f7e-us-prod,monitor-4c26f7e-us-qa,monitor-4c26f7e-us-stg,4c26f7e
babytulaau,monitor-36c3537-us-prod,monitor-36c3537-us-qa,monitor-36c3537-us-stg,36c3537
babytulaeu,monitor-9052a86-us-prod,monitor-9052a86-us-qa,monitor-9052a86-us-stg,9052a86
babytulapl,monitor-b654899-us-prod,monitor-b654899-us-qa,monitor-b654899-us-stg,b654899
babytulauk,monitor-0e4f034-us-prod,monitor-0e4f034-us-qa,monitor-0e4f034-us-stg,0e4f034
